song_no,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
118,0.296,0.432,5,-8.677,1,0.0316,0.00059,0.899,0.237,0.216,88.13,1tMHDdJEz8MFrkPFgwFACG,200667,4
119,0.271,0.283,11,-11.629,1,0.0297,0.857,0.0369,0.242,0.0803,83.121,00YPnIeLnxfTPwT6tmdNR1,167507,4
120,0.554,0.414,4,-12.288,1,0.0313,0.921,0.0149,0.108,0.229,137.355,4z7N3LUchksm6yMrH2XHA4,235989,4
121,0.426,0.815,6,-7.566,1,0.0666,0.0449,0.0307,0.104,0.297,195.123,69L4d5HlE0YOCwWFYVFGoW,258960,3
122,0.516,0.231,0,-11.085,1,0.0247,0.613,0.0489,0.0686,0.0587,84.07,5OzrMDf9ec7hm0J9GrovnY,365493,4
123,0.581,0.276,9,-11.155,1,0.0307,0.789,0.937,0.11,0.312,157.993,6lzwG3ziuwdUsIEnYI1znT,337107,4
124,0.218,0.28,10,-12.639,1,0.0339,0.648,0.0378,0.0943,0.0395,88.785,34IofgNOJWM3LzBLAqXEbK,227927,4
125,0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,86.644,3cg0dJfrQB66Qf2YthPb6G,301133,4
126,0.61,0.508,10,-7.9,1,0.0386,0.664,0.322,0.0857,0.071,120.007,5rZRM3Lf4eGsMpCDcOJ87C,244347,4
127,0.399,0.444,7,-7.032,1,0.037,0.486,0.0086,0.111,0.213,177.855,5f73EH8020u0znMDJUYTMj,185000,4
128,0.462,0.796,9,-6.202,1,0.0322,0.384,0,0.296,0.824,204.028,618hiI74zBL8UVgAvfmkLj,264240,4
129,0.53,0.593,0,-9.2,0,0.0382,0.533,4.78E-05,0.0446,0.647,162.335,0j7Z3eMte1THTd7JGeZOPJ,280547,4
130,0.535,0.24,10,-15.198,1,0.085,0.92,0,0.111,0.49,128.547,6fUDNcmsnnUVyOtEnA9xdC,153867,4
131,0.676,0.19,0,-16.696,1,0.0482,0.853,0.000472,0.085,0.233,120.093,7AL1pxI9IwHoXs98G0T8cC,165973,4
132,0.243,0.171,1,-17.543,1,0.037,0.814,0.00523,0.102,0.0897,126.599,0JlHhicC1HetuYgujLD9hO,191200,4
133,0.425,0.373,4,-7.543,1,0.0797,0.679,0,0.077,0.663,78.225,4QxDOjgpYtQDxxbWPuEJOy,155307,4
134,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,648TTtYB0bH0P8Hfy0FmkL,191973,3
135,0.549,0.188,11,-17.402,0,0.0309,0.795,0.682,0.11,0.198,82.745,6bLy8YiVKRpUzwWZG6lVDq,340787,4
136,0.417,0.384,5,-12.048,1,0.0446,0.814,0,0.412,0.356,107.3,7M18i7KC9A1mTrQVPY9hKy,177533,4
137,0.502,0.443,9,-12.239,1,0.0276,0.175,0.00594,0.2,0.485,89.835,4aVz0wlJLCsU92yN5vytyV,192200,4
138,0.681,0.264,8,-21.861,1,0.0309,0.833,0.441,0.103,0.692,93.809,7gkboYtvhuXNS4EUwmFPcw,175400,4
139,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.768,7a3g7jILDCvADVN9NQIyYj,239733,4
140,0.444,0.182,8,-10.393,1,0.0462,0.839,0.000411,0.114,0.325,80.417,0aAdPAlrBJqqqkkhttZIKU,244373,4
141,0.477,0.381,5,-10.237,0,0.0342,0.727,0,0.0615,0.329,121.568,3gsCAGsWr6pUm1Vy7CPPob,286920,4
142,0.366,0.391,3,-12.322,1,0.0425,0.854,0,0.352,0.461,119.182,5I9sHwLDX28tLtzVgKLtpr,164547,3
143,0.351,0.153,11,-11.954,0,0.0322,0.903,0,0.405,0.212,91.749,6WdcvzQADmrL8nucimUV6r,183893,4
144,0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,4l9hml2UCnxoNI3yCdL1BW,141133,4
145,0.549,0.433,7,-8.526,1,0.0327,0.906,0.0108,0.0774,0.486,116.068,7eqNATKM78MkWP6aHGXHEV,155080,3
146,0.663,0.264,0,-14.571,1,0.0914,0.706,0,0.1,0.657,122.482,33jt3kYWjQzqn3xyYQ5ZEh,354533,4
147,0.723,0.0811,0,-14.113,1,0.0631,0.779,0,0.509,0.36,88.044,5y8zb3grlQonjdqd27K39T,181493,4
148,0.657,0.652,10,-7.247,1,0.05,0.37,0,0.238,0.665,109.885,7z8XCViP5KT8O7HqoCsRTV,252565,4
149,0.477,0.788,10,-4.46,1,0.0362,0.0183,1.78E-06,0.294,0.255,129.967,5lT5IZWW3JQErXELJpQgJ9,212093,4
150,0.666,0.542,8,-6.429,1,0.0392,0.27,0,0.0765,0.0771,120.134,3M0lSi5WW79CXQamgSBIjx,228787,4
151,0.422,0.609,11,-6.361,0,0.0335,0.0114,4.76E-06,0.108,0.0911,107.34,2jQiSYrwJehQAcuaaQrXnS,230011,3
152,0.524,0.563,3,-13.43,0,0.0778,0.466,0.679,0.21,0.19,178.332,7a1UiDLvw2yyuRPtANObXb,294607,4
153,0.371,0.278,7,-8.596,0,0.0303,0.981,0,0.272,0.338,82.331,3lAun9V0YdTlCSIEXPvfsY,187733,4
154,0.888,0.511,5,-7.412,0,0.0649,0.15,0.00164,0.0935,0.762,136.007,3ZgC8QbdvmjFSzAbz7DWFl,183529,4
155,0.6,0.414,4,-10.179,0,0.204,0.552,2.05E-05,0.0584,0.364,149.949,5wE12WDUvty3rLhI19CZNF,289600,4
156,0.616,0.384,0,-9.219,1,0.031,0.000155,0.44,0.0988,0.711,109.986,7iV8uNMTklVhXPkwZmMNtL,172500,4
157,0.622,0.471,9,-7.105,1,0.0277,0.0448,0,0.0957,0.278,124.455,5S5u0EWtlblH00iTNExZ6X,278293,4
